w,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse,p90_fold_mse,min_fold_skill
0.0,5.476236263736263,3.886904761904762,0.7421245421245422,0.6748511904761905,0.09471882526519627,0.16886037276867488,38.007440476190474,11.741220238095233,9.388244047619049,-7.478686162494302
0.05,5.395175595238094,3.851396949404762,0.7388679029304029,0.6763392857142856,0.11330527560358722,0.1759865274672487,38.02152901785714,11.48331975446428,9.390302827380953,-6.646743436339531
0.1,5.321604395604396,3.7997991071428574,0.7356524725274726,0.6757440476190477,0.13015189970489358,0.1843213032402649,38.03760416666667,11.260311755952378,9.383770833333335,-5.867301689146201
0.15,5.255522664835165,3.7689657738095237,0.7325927197802197,0.6765997023809524,0.14525869756911552,0.1993312491255369,38.05566592261904,11.082937313988092,9.379064732142856,-5.140360920914308
0.2,5.196930402930404,3.736458333333333,0.7298672161172162,0.6735119047619047,0.1586256691962528,0.22283390619346805,38.07571428571429,10.911901785714285,9.36354761904762,-4.465921131643861
0.25,5.14582760989011,3.7446056547619047,0.7273523351648351,0.6715029761904762,0.17025281458630565,0.2429341401980244,38.09774925595238,10.747205171130952,9.362760416666667,-3.8439823213348525
0.3,5.102214285714285,3.7976190476190474,0.7251831501831502,0.6672619047619047,0.18014013373927404,0.24737604365984328,38.12177083333333,10.600304315476189,9.236751488095239,-3.274544489987285
0.35,5.06609043040293,3.7633314732142864,0.7233070054945054,0.6639880952380952,0.18828762665515775,0.2486754370374205,38.14777901785714,10.483747953869045,9.162841889880953,-2.757607637601161
0.4,5.037456043956044,3.670178571428571,0.7218589743589744,0.6626488095238094,0.19469529333395702,0.2446277937578416,38.17577380952381,10.372898809523807,9.117494047619049,-2.2931717641764777
0.45,5.016311126373626,3.6785881696428575,0.7207680860805862,0.6613095238095237,0.19936313377567172,0.24687793215292492,38.205755208333336,10.419822730654762,9.129355282738096,-1.881236869713236
0.5,5.002655677655677,3.677083333333333,0.719871794871795,0.6584821428571428,0.20229114798030193,0.2527210923389717,38.237723214285715,10.035863095238096,9.209709821428573,-1.521802954211434
0.55,4.996489697802198,3.6625409226190477,0.7198763736263736,0.6591145833333334,0.20347933594784762,0.24536610272470688,38.27167782738095,10.149279761904761,9.009146577380953,-1.2252444927750568
0.6,4.997813186813187,3.698839285714286,0.7200549450549449,0.6617559523809524,0.2029276976783088,0.2552672462154031,38.30761904761905,10.312095238095237,8.98472619047619,-1.4403121263837044
0.65,5.006626144688644,3.700797991071428,0.7205425824175824,0.6638764880952381,0.20063623317168544,0.25100109597258424,38.345546875000004,10.578456845238094,8.981279389880955,-1.672778302831217
0.7,5.022928571428571,3.7499181547619047,0.7214697802197803,0.6658482142857143,0.19660494242797755,0.24784874419205538,38.385461309523805,10.867229166666666,9.056535714285717,-1.9226430221175943
0.75,5.046720467032967,3.8170107886904763,0.7226648351648353,0.6674107142857143,0.19083382544718513,0.23770865685144738,38.427362351190474,11.08139415922619,9.125530133928573,-2.189906284242837
0.8,5.078001831501831,3.818035714285714,0.7243498168498169,0.6697916666666667,0.1833228822293082,0.22072693334394428,38.47125,11.212255952380952,9.112869047619052,-2.474568089206944
0.85,5.116772664835166,3.7927585565476187,0.726467490842491,0.6710193452380953,0.17407211277434675,0.211410798045912,38.51712425595238,11.363109561011903,9.047270461309528,-2.7766284370099155
0.9,5.163032967032967,3.892879464285714,0.7288644688644688,0.6713541666666667,0.16308151708230076,0.2029682604064577,38.56498511904762,11.687708333333335,9.091642857142862,-3.0960873276517527
0.95,5.216782738095238,3.9874460565476193,0.7314457417582417,0.6766741071428571,0.1503510951531703,0.19930463146048671,38.61483258928571,12.323136160714283,9.153900297619053,-3.432944761132454
1.0,5.278021978021978,4.026041666666667,0.7340888278388279,0.6815476190476191,0.13588084698695527,0.19791222870382025,38.666666666666664,12.924702380952377,9.222916666666672,-3.7872007374520216
