label,seed,n_folds,mean_mse,median_mse,mean_mae,median_mae,mean_skill,median_skill,max_fold_mse,p95_fold_mse
pure_S11,42,130,5.292845695970696,3.8043154761904763,0.7374656593406593,0.6815476190476191,0.11632196821918613,0.1637405350190565,30.870535714285715,11.188988095238095
pure_S11,123,130,6.044734432234432,4.183779761904762,0.7683150183150182,0.6897321428571428,-0.043511149105154544,0.12916135832626913,48.53720238095238,15.351190476190462
pure_S11,456,130,5.407394688644689,3.765625,0.732257326007326,0.6488095238095238,0.15668504216066417,0.19984003400378336,48.55059523809524,13.317485119047618
pure_S11,789,130,5.538026556776557,3.986607142857143,0.7465430402930403,0.6897321428571428,0.08959557222467542,0.19013080704975194,39.48065476190476,15.512276785714276
pure_S11,1024,130,5.629727564102565,4.18452380952381,0.7552999084249084,0.6941964285714286,0.08583774068091103,0.15220657588610104,44.08779761904762,14.653571428571428
pure_S04,42,130,5.792948717948718,4.30952380952381,0.7667124542124543,0.7217261904761905,0.08496608737727146,0.14657586224536612,51.13690476190476,13.461681547619046
pure_S04,123,130,5.927804487179487,3.9613095238095237,0.7745764652014653,0.6979166666666666,0.02189468279213356,0.09807718484348715,47.375,12.711904761904757
pure_S04,456,130,6.047126831501831,4.290922619047619,0.7730196886446886,0.6994047619047619,-0.057121379227060995,0.13672841398980173,46.967261904761905,17.962276785714284
pure_S04,789,130,7.038278388278388,4.069940476190476,0.7892857142857144,0.7239583333333333,-0.2914378170659987,0.1080155548079495,193.13988095238096,16.580580357142846
pure_S04,1024,130,5.933940018315019,4.12202380952381,0.7729510073260073,0.7008928571428571,0.0741600420798157,0.06323776923341312,60.68154761904762,13.679166666666667
blend_w0.55,42,130,5.081551482371794,3.7781677827380955,0.7282137133699634,0.68046875,0.19381742781108738,0.22118754422404796,38.035487351190476,10.586380766369047
blend_w0.55,123,130,5.490432663690476,3.7329166666666667,0.7507045558608059,0.6829613095238095,0.09795161273637108,0.19235727953324666,39.92747023809524,12.154759486607142
blend_w0.55,456,130,5.164970839056776,3.7650520833333334,0.727987065018315,0.6672247023809523,0.18128719964854434,0.21112259987869558,40.45156622023809,12.254557663690473
blend_w0.55,789,130,5.448943967490843,3.889281994047619,0.7431627747252747,0.6739955357142857,0.11791956390729157,0.23045637094351384,43.33033110119048,16.39936625744047
blend_w0.55,1024,130,5.362769803113553,3.6202362351190476,0.7403582875457875,0.6653645833333333,0.16720542704680214,0.18183318096666207,46.566517857142856,12.519464099702374
