target_idx,target,bucket,nonzero_rate,mean_y_true,total_y_true
0,A02BA01,sparse,0.059053578412201796,0.07195932733672272,184.0
1,A03AB02,sparse,0.03637074696910442,0.05631599530700039,144.0
2,A03FA01,sparse,0.2334767305436058,0.3038717246773563,777.0
3,A04AA01,sparse,0.009777082518576457,0.02972233085647243,76.0
4,A10AB05,ultra,0.00039108330074305825,0.00039108330074305825,1.0
5,A10AE04,ultra,0.0007821666014861165,0.0007821666014861165,2.0
6,A11EA,sparse,0.09112240907313257,0.13805240516229958,353.0
7,B02AA02,sparse,0.02698474775127102,0.032850997262416894,84.0
8,B05BA03,ultra,0.00039108330074305825,0.00039108330074305825,1.0
9,B05BB01,sparse,0.3343762221353148,0.7328901055924912,1874.0
10,B05BB02,sparse,0.6589753617520532,4.832225263981228,12356.0
11,B05XA03,sparse,0.1638639030113414,0.2229174814235432,570.0
12,C01EA01,sparse,0.01564333202972233,0.03402424716464607,87.0
13,C07AG01,ultra,0.001564333202972233,0.001564333202972233,4.0
14,C08CA04,ultra,0.0019554165037152915,0.0023464998044583495,6.0
15,D11AH05,sparse,0.1020727414939382,0.15056707078607742,385.0
16,H02AB02,dense,0.7989831834180681,10.864294094642158,27780.0
17,H02AB04,ultra,0.0007821666014861165,0.0007821666014861165,2.0
18,H02AB08,sparse,0.20258114978490419,0.2835353930387172,725.0
19,J01CR02,sparse,0.15526007039499412,0.19554165037152912,500.0
20,J01DC02,sparse,0.08017207665232695,0.6253421978881502,1599.0
21,J01DC05,sparse,0.4337113805240516,3.147829487680876,8049.0
22,J01DC07,sparse,0.00899491591709034,0.03245991396167384,83.0
23,J01DC09,sparse,0.16151740320688307,1.1650371529135706,2979.0
24,J01DC14,ultra,0.0011732499022291747,0.0011732499022291747,3.0
25,J01DD04,ultra,0.004301916308173641,0.004301916308173641,11.0
26,J01GB03,sparse,0.34728197105983577,2.5189675400860385,6441.0
27,J01GB07,sparse,0.4657802111849824,5.511928040672664,14094.0
28,J01MA02,sparse,0.06570199452483379,0.07235041063746578,185.0
29,M01AB05,dense,0.7704341024638248,4.764567852952679,12183.0
30,M01AB15,sparse,0.1396167383652718,0.31795072350410636,813.0
31,M03AB01,ultra,0.003910833007430583,0.016816581931951506,43.0
32,M03AC09,ultra,0.004692999608916699,0.023464998044583497,60.0
33,N01AH01,sparse,0.005475166210402816,0.02072741493938209,53.0
34,N01AH06,sparse,0.014470082127493155,0.019554165037152915,50.0
35,N01AX07,sparse,0.01994524833789597,0.02033633163863903,52.0
36,N01AX10,sparse,0.05240516229956981,0.07352366053969496,188.0
37,N01BB02,sparse,0.032068830660930775,0.04732107938991005,121.0
38,N01BB52,dense,0.7059053578412202,3.501759874853344,8954.0
39,N02AB02,ultra,0.004301916308173641,0.009385999217833398,24.0
40,N02AX02,dense,0.7446226046147829,5.60735236605397,14338.0
41,N05BA01,sparse,0.16699256941728588,0.20766523269456394,531.0
42,N05CD08,sparse,0.05318732890105592,0.07352366053969496,188.0
43,N07AA01,ultra,0.004692999608916699,0.023464998044583497,60.0
44,R03CA02,ultra,0.002737583105201408,0.002737583105201408,7.0
45,R05CB06,sparse,0.05279624560031287,0.06570199452483379,168.0
46,R06AB04,sparse,0.4743840438013297,1.5420414548298789,3943.0
47,V03AB25,ultra,0.0007821666014861165,0.0007821666014861165,2.0
